"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi’s Outlet Store","4.3","286","169","76","15","21","5","39","friendly staff","19","jeans","2","mask policy","2","clearance deals","2","dressing room assistance","5","product selection","2","size availability","3","cleanliness","3","shorts","2","store layout"
"Levi’s Outlet Store","4.2","165","97","36","19","11","2","21","helpful staff","4","helpful people","6","deals","2","size","4","employees","15","jeans","6","selection","2","shopping",,,,
"Levi’s Outlet Store","4.3","397","221","117","18","32","9","26","jeans","12","sizes","2","belt selection","6","cleanliness","3","variety of products","28","deals","2","specials","2","size availability","2","sale","3","product availability"
"Levi's","3.9","43","26","4","8","2","3","2","pants","3","jeans",,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.4","137","82","36","3","12","4","2","helpful clerk","2","jeans","3","size","5","deals","2","sale","2","choices",,,,,,,,
"Levi’s Outlet Store","4.3","549","306","150","15","64","14","36","helpful staff","31","jeans","2","variety of jeans","7","friendly employees","3","small sizes","5","kind staff","2","jacket","2","organized store","2","variety of styles","2","wide assortment"
"Levi’s Outlet Store","4.2","518","277","133","36","57","15","33","friendly staff","31","jeans","2","tidy store","2","outlet store","2","zipper","2","easy to browse","22","deals","5","selection","3","friendly managers","2","cleanliness"
"Levi’s Store","4","38","23","6","6","2","1","3","tailor shop","11","helpful staff","2","staff patience","2","fitting rooms","2","hem","2","amazing experience","2","policy","11","jeans",,,,
"Levi’s Store","4.1","121","65","30","11","6","9","14","jeans","2","sizing assistance","2","online ordering","4","awesome staff","7","value","2","online store","2","helpfulness","4","mall","2","salesman","2","shopping experience"
"Levi’s Store","3.9","118","55","28","14","18","3","7","tailor","2","cute store","2","kind employees","2","staff help","3","sales staff","2","to exchange","3","organisation","4","selection","2","bucket hat","14","jeans"
"Levi’s Outlet Store","4.2","175","95","45","14","16","5","5","jeans selection","16","friendly staff","2","helpful salesperson","2","jacket","2","sizes","3","cleanliness","2","sale","2","Has fitting room","2","organization","2","selection"
"Levi’s Store","4.2","1112","575","307","52","139","39","84","helpful staff","117","jeans","34","discounts","4","jean fitting","5","custom patches","5","flagship store","18","kind staff","2","limited edition jeans","2","free alterations","22","tailor"
"Levi's Store","3.6","17","11","0","5","0","1","5","helpful staff",,,,,,,,,,,,,,,,,,
"Levi's® Market Street","3.2","10","4","2","4","0","0",,,,,,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.3","187","106","51","6","17","7","9","deals","2","choices","4","employees","2","clothes","19","jeans",,,,,,,,,,
"Levi’s Outlet Store","4.3","495","295","104","30","55","11","2","deals on jeans","2","deals on shirts","2","outlet store","2","organized store","5","product selection","5","cleanliness","2","clean store","2","polite staff","2","clearance items","4","sales ladies"
"Levi’s Outlet Store","4.3","236","144","56","10","19","7","29","jeans","9","selection","5","cleanliness","6","discounts","2","store layout","6","sale","2","clearance items","2","kindness","2","color","2","overall experience"
"Levi’s Outlet Store","4.2","287","167","66","22","26","6","2","range of jeans","3","return policy","4","pleasant staff","2","online returns","6","cleanliness","3","quality clothing","3","exchange policy","6","fitting rooms","8","deals","5","sale"
"Levi’s Store","4.4","66","45","11","4","5","1","28","helpful staff","3","pants selection","2","store cleanliness","3","store size","6","accommodating staff","2","discounts","2","bags","2","welcoming","3","patches","4","sales person"
"Levi's® Ponce City Market","3.9","15","11","0","4","0","0","3","tailoring","2","customization","2","styles","9","jeans","2","shorts",,,,,,,,,,
"We Thieves","4.9","25","24","0","0","0","1","2","vintage jeans","2","blouses","4","helpful staff","2","new products","3","levi's","2","selection","2","accessories","3","jeans","2","silk","5","vintage items"
"Levi’s Store","3.9","22","15","1","5","0","1","10","helpful staff","5","jeans","2","phones","2","question","2","money",,,,,,,,,,
"Levinsky's","4.2","279","142","74","10","41","12","9","levi jeans","4","carhartt products","6","hoodies","2","snow pants","2","medical scrubs","6","name brands","2","souvenir shirts","10","souvenirs","3","winter gear","6","kind staff"
"Levi’s Outlet Store","4.4","223","144","45","4","22","8","33","helpful staff","19","jeans","12","sale","2","black friday","3","nice environment","3","helpful people","8","deals","2","feel","2","cashier","2","manager"
"Levi’s Store","4.2","109","66","20","6","13","4","3","product selection","2","returns","2","deals","2","store setup","2","sales girl","2","employees","2","selection","8","jeans","2","size",,
"Levi’s Outlet Store","4.2","178","100","37","8","26","7","22","helpful staff","4","outlet store","2","mask policy","2","online ordering","3","store cleanliness","4","kind staff","9","selection","3","product selection","3","greeting","3","deals"
"Levi’s Store","4.4","22","18","1","3","0","0","2","gift","2","confidence boost","2","mall","2","name","2","management","5","jeans","2","patient","2","selection",,,,
