"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.5","11","9","0","1","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","34","24","5","2","1","2",,,,,,,,,,,,,,,,,,,,
"Levi's® Playa del Carmen","4.5","11","9","0","1","1","0","3","jeans",,,,,,,,,,,,,,,,,,
"Levi's","4.4","20","12","5","0","2","1",,,,,,,,,,,,,,,,,,,,
"Levi's","4","218","115","50","23","22","8","2","denim pants","2","pants inventory","8","variety of products","2","variety of sizes","3","variety of clothes","2","organized store","5","model","2","clean store","2","staff attention","2","hygiene"
"Outlet Levi's® Factory Mazatlán","3.7","3","2","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"LEVI'S STORE","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Outlet Levi's® Culiacán","4.3","9","6","2","1","0","0","2","pants","2","promotions",,,,,,,,,,,,,,,,
"Levi's","4.4","43","29","7","2","5","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","167","98","46","3","15","5","5","large sizes","2","variety of sizes","7","promotions","2","assortment","2","line","2","jeans","2","kindness","4","models","6","pants",,
"Levi's® Punto Sur","4.7","9","8","0","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's","4.1","191","104","42","18","20","7","3","variety of jeans","3","variety of clothing","2","hygiene measures","2","outlet","3","brand","2","bag","2","fashion","2","buys","2","box","4","manager"
"Levi's","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.5","23","16","4","1","2","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Gran Plaza","4.4","17","12","3","2","0","0","2","staff attention","2","durability",,,,,,,,,,,,,,,,
"Levi's","4.5","214","159","30","8","14","3","2","buying jeans","2","friendly salespeople","4","discounts","2","designs","3","staff attention","2","quality clothing","2","colors","2","treatment","2","kindness","2","patience"
"Outlet levis","2.2","5","0","2","3","0","0","2","app","2","home","2","tea",,,,,,,,,,,,,,
"Levi's Store","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Galerias Valle Oriente","4.8","9","7","2","0","0","0","2","variety",,,,,,,,,,,,,,,,,,
"Jeans levis","2.3","3","1","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® La Ceiba","4","1","0","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.5","97","66","18","3","8","2","2","style assortment","2","employee friendliness","2","offers",,,,,,,,,,,,,,
"Levi's® Shop Paseo Monclova","1","2","0","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Cd. Juarez","4.5","99","67","22","5","4","1","4","jeans","2","staff treatment",,,,,,,,,,,,,,,,
"Levi's","4.3","42","26","7","2","6","1",,,,,,,,,,,,,,,,,,,,
"Levi's Moreno","4.3","31","21","4","2","3","1",,,,,,,,,,,,,,,,,,,,
"Demin 656 - Carlos Levi's","4.9","12","11","1","0","0","0","3","pant style",,,,,,,,,,,,,,,,,,
"Levi’s","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Pepe Levi's","3.7","7","4","1","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Plaza Cumbres","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.5","226","154","46","7","15","4","2","quality pants","4","staff attention","2","variety of clothes","2","staff friendliness","5","brand","4","models","3","kindness","3","treatment","2","tea","2","assortment"
"Outlet Pantalon","4.1","35","24","1","5","4","1","2","accessible","2","good brands","2","offers",,,,,,,,,,,,,,
"Levi's The Park SLP","4.3","6","5","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® San Agustín","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levis","4.4","130","86","27","11","5","1","3","helpful saleswomen","6","product variety","2","variety of clothes","2","branch","9","offers","4","pants",,,,,,,,
