"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.3","172","106","38","12","12","4","2","basic shirts","2","product quality","4","sellers","5","jeans","5","offers","3","variety of products",,,,,,,,
"Levi´s outlet Recife","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levimultimarcas","3","2","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi vêments griffe",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's - Shopping RioMar Recife","4.2","22","13","5","2","2","0","3","product quality","2","notice","2","jeans","2","telephone",,,,,,,,,,,,
"Levi's Araguaína","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levis","4.7","50","40","7","2","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Shopping da Bahia","4.1","39","19","12","2","4","2","3","jeans",,,,,,,,,,,,,,,,,,
"Levi's - Outlet Premium Fortaleza","4.2","138","75","34","9","15","5","2","attentive salespeople","2","discount","2","large store","2","store atmosphere","8","sellers","2","products","8","jeans","2","telephone","2","variety",,
"Levi's - Flamboyant Shopping","4.3","142","83","38","6","10","5",,,,,,,,,,,,,,,,,,,,
"MARIStore jeans","4.8","40","33","6","0","1","0",,,,,,,,,,,,,,,,,,,,
"Levi´s - Shopping Recife","4.5","95","65","19","5","5","1","2","variety of jeans","2","helpful salespeople","2","product quality","3","saleswoman","2","wonderful place","2","respect","6","jeans",,,,,,
"Levi's - Boulevard Feira de Santana","4.3","22","13","4","1","4","0",,,,,,,,,,,,,,,,,,,,
"Bahaus","4.7","10","8","1","0","1","0",,,,,,,,,,,,,,,,,,,,
"Levi’s","3.9","30","20","2","7","1","0","3","sellers",,,,,,,,,,,,,,,,,,
"Levi’s - Capim Dourado Shopping","5","13","13","0","0","0","0","2","renowned brand","2","quality pieces","2","mark",,,,,,,,,,,,,,
"Levi's - Teresina Shopping","4.5","40","25","11","1","3","0",,,,,,,,,,,,,,,,,,,,
"Levi's - ParkShopping Brasília","4.4","241","156","52","10","15","8","2","variety of products","4","saleswomen","2","promotions","2","outlet","2","mark","2","pay","8","seller","3","product quality","2","variety of pants","5","models"
"DiCarnietto","4.6","33","25","6","1","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.1","34","17","10","3","3","1","2","good clothes",,,,,,,,,,,,,,,,,,
"Levi's - Manauara Shopping","4.2","15","12","0","3","0","0","2","attentive salespeople","2","buying online","2","helpfulness","2","attendant","2","site","8","seller","2","pants",,,,,,
"LEVI'S","4.2","227","133","51","20","17","6","2","pants section","6","outlet","2","cool clothes","3","product quality","3","varied options","10","promotions","7","salesperson","2","boxes","2","attendant","3","manager"
"Levi's - Shopping Sinop","5","5","5","0","0","0","0","2","atmosphere",,,,,,,,,,,,,,,,,,
"Levi's","4.3","113","72","24","12","4","1","4","sizing","2","small store","2","quality clothes","4","promotions","3","product quality","12","salespeople","4","discount","3","pants","2","attentive","3","models"
"Levi stores",,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEPO","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Riachuelo","4.2","1550","871","394","93","153","39","5","spacious store","16","variety of products","4","organized store","6","perfumes","2","social clothes","2","immense queue","3","new store","2","beautiful collections","2","quality of clothes","2","ease of payment"
"C&A Modas","4.2","4137","2276","1054","157","521","129","29","variety of clothes","34","variety of products","10","spacious store","9","children's clothing","10","organized store","31","promotions","4","teenage style","9","quality clothes","14","line","4","men's clothing"
"Levi's","4.2","65","41","11","5","5","3","7","pants","2","mark","2","manager",,,,,,,,,,,,,,
"Lojas Gang","4.4","189","126","36","3","16","8","2","attentive salespeople","2","young fashion","2","staff's kindness","2","wonderful store","2","mark","5","clothes","3","young","3","products",,,,
